Codigo;Descricao
5094;CORDAO PARALELO 300V - 2X1.5MM2 - MARRON
6173;MANGUEIRA CORRUGADA AZUL 3/4 REFORCADA
998;TERMINAL TUBOLAR DUPLO 1.5MM TE1510
8935;BUCHA PLASTICA 8MM C/ ANEL
10686;ARRUELA LISA 1/4 ELETROCALHA
26577;LUVA THERMOMARK PARA FIOS 10.0-16.0MM² - COMP. 15MM
18733;TERMINAL TUBOLAR 1.0MM
1427;PARAF AUTO ATARRAXANTE 5.5X3/4
25328;IDENTIFICADOR PLASTICO PARA BORNE DUPLO REF UCT-TMF 5 PHOENIX (CARTELA 72UN)
5092;CORDAO PARALELO 300V - 2X1.5MM2 - BRANCO
7409;CABO EPROTENAX 10MM - AZUL
23432;TERMINAL TUBOLAR 0.5MM
7931;PLACA 4X2 3 POSTOS HORIZ BR SLEEK
16302;PARAFUSO PERFILADO 5/16 X 3/4 (NOVO)
1000;TERMINAL TUBOLAR DUPLO 1MM
1002;TERMINAL TUBOLAR DUPLO 2.5MM
20786;ARRUELA LISA 4MM INOX
9;ABRACADEIRA PLAST 100X2.5 MM BRANCA
5093;CORDAO PARALELO 300V - 2X2.5MM2 - BRANCO
7835;SUPORTE 4X2 CLEAN/SLEEK
11133;PARAFUSO 1/4 X 1/2 ELETROCALHA
13440;MODULO TOMADA 2P+T 10A SLEEK
7080;CORDAO PARALELO 300V - 2X2.5MM2 - MARROM
993;TERMINAL TUBOLAR 4MM - KE4012
3104;CABO FLEXIVEL 750V - 1.0MM2 - PRETO
14167;BUCHA PLASTICA 10MM C/ ANEL
7841;MODULO CEGO BR SLEEK
26173;CABO PP 500V - 2x1.00MM2 - PRETO
6172;MANGUEIRA CORRUGADA AZUL 1 REFORCADA
23426;CABO FLEXIVEL 750V - 0.5MM2 - PRETO
1006;TERMINAL TUBOLAR DUPLO 6MM
15163;LAMPADA LED ENCE A60 9W 6500K 220V DIMERIZAVEL
3100;CABO FLEXIVEL 750V - 1.0MM2 - AMARELO
6762;PORCA SEXTAVADA 3/8 PERFILADO
985;TERMINAL TUBOLAR 10MM - KE1012
3207;CABO FLEXIVEL 750V - 2.5MM2 - CINZA
1003;TERMINAL TUBOLAR DUPLO 4MM
3101;CABO FLEXIVEL 750V - 1.0MM2 - AZUL
988;TERMINAL TUBOLAR 2.5MM - KE2510
13290;CABO FLEXIVEL 750V - 1.0MM2 - VERDE
3116;CABO FLEXIVEL 750V - 1.5MM2 - CINZA
16304;PORCA SEXTAVADA 5/16 PERFILADO
1419;PARAF ATARRAXANTE PHILLIPS PANELA 4.8X45
1437;PARAF MADEIRA 3.0X16
11345;CABO EPROTENAX 16MM - AZUL
986;TERMINAL TUBOLAR 16MM - KE1618
1413;PARAF ATARRAXANTE CAB CHATA 4.2X25
10641;PARAF SEXTAVADO ROSCA SOBERBA 1/4X55
3586;GRAMPO MIGUELAO MARROM
16592;MANGUEIRA KANAFLEX PEAD SW 1 - DN32
11531;PARAF AUTO BROCANTE 4.2X13 CAB FLANGE (DRYWALL)
2638;PORCA SEXTAVADA 3MM
21938;LAMPADA BULBO LED 9W 6500K E27 BIV - AVANT
17735;LUVA THERMOMARK PARA FIOS 6-10.0MM² - COMP. 15MM
19087;CABO CCI 2 PARES P/ ALARME - BRANCO
995;TERMINAL TUBOLAR 6MM - KE6012
10856;CABO EPROTENAX 16MM - VERMELHO
1415;PARAF ATARRAXANTE PANELA 3.5X22
7048;CABO PP 1KV 4X2.5MM - PRETO
3103;CABO FLEXIVEL 750V - 1.0MM2 - BRANCO
30736;CABO DE REDE CAT 6 CINZA DRAKA - PRYSMIAN
7410;CABO EPROTENAX 10MM - VERDE
25134;IDENTIFICADOR DE CABOS FIXACAO ABRACADEIRA COR BRANCA 29X8 REF US-WMTB PHOENIX
23028;IDENTIFICADOR BORNE IDG10/5T-BTW 10X5MM SERIE T TIPO BTW
3010;CABO PP 1KV 2X2.5MM - PRETO
23031;IDENTIFICADOR AUTO-ADESIVO PAINEL KLM 20X8MM
23429;CABO FLEXIVEL 750V - 0.5MM2 - AZUL
997;TERMINAL TUBOLAR DUPLO 0.75MM
23920;ANILHA - MARCADOR RO 85 REF. 1
916;TERMINAL MACHO 4-6MM
931;TERMINAL PINO 0.5-1.5MM
3090;CABO PP 1KV 3X1.5MM - PRETO
23921;ANILHA - MARCADOR RO 85 REF. 2
31515;PARAF AUTO ATARRAXANTE PONTA AGULHA 5.5X1.1/2
10700;CABO EPROTENAX 16MM - BRANCO
23425;CABO FLEXIVEL 750V - 0.5MM2 - VERMELHO
23030;IDENTIFICADOR CABO KIP 15X4MM (ANILHA)
934;TERMINAL PINO 1.5-2.5MM
11346;CABO EPROTENAX 16MM - PRETO
6709;CONECTOR DERIV. AMARELO (4-6MM)
13877;BUCHA GRAMP S/PREGO N2 3.0X4.5MM
2645;PORCA SEXTAVADA 5MM
935;TERMINAL PINO 4-6MM
13354;BUCHA NYLON MU 8MM C/ ANEL
3105;CABO FLEXIVEL 750V - 1.0MM2 - VERMELHO
3190;CABO FLEXIVEL 750V - 16.0MM2 - VERDE
3080;CABO PP 1KV 3X2.5MM - PRETO
11698;CABO EPROTENAX 10MM - BRANCO
18214;CABO MULTIPLEX ALUMINIO 0.6/1KV 1X1X10MM2 + 10MM2 - DUPLEX - NEUTRO ISOLADO
7047;CABO PP 1KV 4X1.5MM - PRETO
17311;PARAF AUTO BROCANTE 4.2X25 CAB FLANGE (DRYWALL)
18569;ANILHA MHG-4/9 4.0-16.00MM (6) HELLERMANN
18571;ANILHA MHG-4/9 4.0-16.00MM (8) HELLERMANN
521;ARRUELA LISA 5MM
11826;CABO EPROTENAX 16MM - VERDE
23428;CABO FLEXIVEL 750V - 0.5MM2 - BRANCO
27038;ANILHA - MARCADOR RO 85 REF. O
3127;FIO ESM 180GR NR 26
18570;ANILHA MHG-4/9 4.0-16.00MM (7) HELLERMANN
30499;CABO DE REDE BLINDADO CAT5E CAPA DUPLA - MEGATRON
24135;LAMPADA BULBO LED 40W 6500K E27 BIV - AVANT
13036;ARRUELA DE PRESSAO 5 MM
8725;TIJOLO 9F 11.5X14X24 E 1
21391;CABO MULTIPLEX ALUMINIO 0.6/1KV 3X1X35MM2 + 35MM2 - QUADRUPLEX - NEUTRO NU COM LIGA 6201
2957;CABO EPROTENAX 10MM - PRETO
910;TERMINAL FORQUETA 1.5-2.5MM/4MM
28004;PARAF AUTO ATARRAXANTE 5.5X7/8 COSTURA
26711;TERMINAL TUBOLAR DUPLO 16MM
7692;ADAPTADOR BRANCO 3/4
33004;PARAF MADEIRA 4.5X40MM FENDA CRUZADA
1428;PARAF MADEIRA 4X40MM FENDA CRUZADA
516;ARRUELA LISA 10MM
11331;PARAF AUTO ATARRAXANTE 5.5X1.1/2
12250;CONECTOR DE PASSAGEM 4MM CINZA/BEGE
2633;PORCA SEXTAVADA 1/4
19640;TERMINAL TUBOLAR 16MM (APROV. CERSUL)
24133;LAMPADA BULBO LED 20W 6500K E27 BIV - AVANT
14120;PARAF PONTA AGULHA 4.2X19 CAB FLANGE (DRYWALL)
26172;CABO PP 500V - 4x1.00MM2 - PRETO
1541;PARAFUSO P/ PERFILADO 3/8X3/4
12025;PARAF PONTA AGULHA 4.2X13 CAB FLANGE (DRYWALL)
13879;BUCHA GRAMP S/PREGO N3 5.0X6.5MM
17635;CABO PROFINET CAT5E 2X2 FC REF 6XV1840-2AH10 SIEMENS
16101;ABRACADEIRA PRETA 3/4
23919;ANILHA - MARCADOR RO 85 REF. (-)
21671;TERMINAL TUBOLAR 4MM (APROV. CERSUL)
22349;PARAF MADEIRA 4.5X60MM FENDA CRUZADA
30402;ANILHA - MARCADOR RO 85 REF. G
23938;ANILHA - MARCADOR RO 85 REF. S
8698;ABRACADEIRA TIPO OMEGA PRT-897 50MM
23214;PARAFUSO MITTOFIX FLANGEADO 3.5X14
24031;ARRUELA LISA 10MM ZB
2904;CABO COBRE NU 16MM
26276;LAMPADA BULBO LED 15W 6500K E27 BIV - AVANT
911;TERMINAL FORQUETA 4-6MM/4MM-6MM
12040;MODULO INTER. SIMPLES SLEEK
15802;FITA ISOLANTE 20MTS PRETA - FOXLUX
23212;PARAFUSO SEXTAVADO 3/8X1.1/4
11434;CABO EPROTENAX 25MM - AZUL
32746;CABO DE FIBRA OPTICA SM DROP FLAT 1 FO A2 LSZH
28729;CABO PP 500V - 3X1.0MM2 - PRETO
17589;CABO FIBRA OPTICA F8 SM 04FO COG 9/125 - DROP
2663;BUCHA NYLON GRAMPO 6MM
1014;TERMINAL YA 16MM
13197;CABO EPROTENAX 25MM - BRANCO
20824;CABO FIBRA OPTICA F8 SM S 06FO CFOA 9/125 - ASU80
10455;CABO EPROTENAX 25MM - VERMELHO
25892;PORCA SEXTAVADA 4MM INOX
2913;CABO COBRE NU 50MM
23935;ANILHA - MARCADOR RO 85 REF. M
33069;PARAF SEXTAVADO 4X12 MM INOX
11156;ROLDANA PLASTICA 24X24 C/ PREGO - VONDER
16211;MANGUEIRA KANAFLEX PEAD SW 1.1/2 - DN50
520;ARRUELA LISA 4MM
16212;MANGUEIRA KANAFLEX PEAD SW 1.1/4 - DN40
15020;PORCA SEXTAVADA 6MM INOX
13940;ARRUELA LISA 6MM INOX
18213;CABO MULTIPLEX ALUMINIO 0.6/1KV 1X1X16MM2 + 16MM2 - DUPLEX - NEUTRO ISOLADO
10647;PARAF SEXTAVADO 5/16X1.1/2
10862;CABO EPROTENAX 10MM - VERMELHO
16210;MANGUEIRA KANAFLEX PEAD SW 2 - DN63
24053;CABO DE REDE CAT 6 CINZA - NEXANS
23457;ABRACADEIRA ROSCA S/F 044X057
18572;ANILHA MHG-4/9 4.0-16.00MM (9) HELLERMANN
11626;CABO FLEX 750V 2.5MM AZUL - CORFITOX
896;TERMINAL ARGOLA 1.5-2.5MM/6MM
19639;TERMINAL TUBOLAR 10MM (APROV. CERSUL)
7952;CABO FLEXIVEL 750V - 0.5MM2 - VERDE
24499;TERMINAL ARGOLA 10MM FURO 8.2MM
8120;KIT PORCA GAIOLA C/ PARAFUSO
522;ARRUELA LISA 6MM
16293;CABO FLEXIVEL 750V - 1.0MM2 - CINZA
14138;ABRACADEIRA BRANCA 3/4 - INPOL/MASSTER
1461;PARAF SEXTAVADO 6X30
7407;CABO EPROTENAX 35MM - BRANCO
33109;ARRUELA DENTADA 4MM INOX
11341;PORCA SEXTAVADA 6MM
25894;CABO FLEXIVEL 750V - 0.5MM2 - CINZA
11435;CABO EPROTENAX 25MM - PRETO
2979;CABO EPROTENAX 35MM - AZUL
24383;LAMPADA BULBO LED 75W 6500K E27 BIV
2981;CABO EPROTENAX 35MM - PRETO
14050;PARAFUSO BELPLASTIC 4.0X16 CAB PANELA
18563;ANILHA MHG-4/9 4.0-16.00MM (0) HELLERMANN
23430;CABO FLEXIVEL 750V - 0.5MM2 - LILAS
18568;ANILHA MHG-4/9 4.0-16.00MM (5) HELLERMANN
2850;CABO MULTIPLEX ALUMINIO 0.6/1KV 3X1X50MM2 , 50MM2 - QUADRUPLEX - NEUTRO NU
905;TERMINAL FEMEA 0.5-1.5MM
504;ARRUELA DE ALUMINIO 3/4
7191;PARAF MADEIRA 3X30MM FENDA CRUZADA
9506;ARRUELA LISA 1/4 INOX
913;TERMINAL MACHO 0.5-1MM
11153;PLAFON NYLON C/ BOCAL PORCELANA BRANCO
3082;CABO PP 1KV 3X4.00MM - PRETO
2949;CABO DE REDE CAT 5E AZUL - NEXANS - NEXANS
31951;PARAF MADEIRA 3.5X50
1454;PARAF SEXTAVADO 1/4X1/2
29398;FITA ISOLANTE 20MT PRETA - PRYSMIAN
19641;TERMINAL TUBOLAR 25MM (APROV. CERSUL)
2839;CABO MULTIPLEX ALUMINIO 0.6/1KV 3X1X16MM2 + 16MM2 - QUADRUPLEX - NEUTRO NU
3188;FITA GALVANIZADA PERFURADA 3/4
7408;CABO EPROTENAX 35MM - VERMELHO
19907;TERMINAL FEMEA 1.5-2.5MM C/ CAPA ISOLANTE
24384;LAMPADA BULBO LED 100W 6500K E40 BIV
2639;PORCA SEXTAVADA 3/16
26515;ABRACADEIRA PLAST 300X7.2 MM BRANCA
21880;CEBOLINHA P/ FLUORESCENTE
24134;LAMPADA BULBO LED 30W 6500K E27 BIV - AVANT
25365;IDENTIFICADOR PLASTICO 23X4 PARA CABO COMANDO REF UCT-WMCO (1.1-1.9) PHOENIX (24UN CARTELA)
909;TERMINAL FORQUETA 0.5-1.5MM/4MM
16209;MANGUEIRA KANAFLEX PEAD SW 3 - DN90
24735;LUMINARIA/PLAFON LED SOBREPOR QUADRADO BRANCO 24W 6500K - AVANT
5324;PARAF SEXTAVADO 6X20
9997;CABO FLEX 750V 1.5MM VERDE - CORFITOX
18520;ANILHA MHG-2/5 0.5-6.00MM (C) HELLERMANN
30549;ABRACADEIRA PLAST 710X9.0 MM PRETA
18177;CHUMBADOR PBV 3/8 X 2.1/4
872;CORDAO PARALELO 300V - 2X1.0MM2 - MARRON
20032;CLIPS P/ CABO ACO 1/8
2837;CABO MULTIPLEX ALUMINIO 0.6/1KV 1X1X16MM2 + 16MM2 - DUPLEX - NEUTRO NU
12904;PARAF ATARRAXANTE PANELA 4.8X50
18396;DISCO CORTE INOX MISTER LABORE 4.5 (115X1.2X22)
3189;CABO FLEXIVEL 750V - 16.0MM2 - PRETO
3176;FITA AUTO ADESIVA 48MMX100MT (DUREX)
20753;CONECTOR P/ CABO LAN RJ-45 CAT 5 - ROHDINA
23431;CABO FLEXIVEL 750V - 0.5MM2 - LARANJA
2928;CABO CONTROLE 6X1.00MM
46;ABRACADEIRA P/ FLUORESCENTE T8
5084;CORDAO PARALELO 300V - 2X1.0MM2 - BRANCO
10040;SAIDA HORIZONTAL DE LEITO P/ ELETR. 3/4
11631;CABO FLEX 750V 4.0MM VERDE - CORFITOX
22218;PARAF SEXTAVADO 8X30
6920;PARAF MAQ.CABECA REDONDA 3/16 X 3/8
14137;LUVA ELETRODUTO BRANCO 3/4
21672;TERMINAL TUBOLAR 6MM (APROV. CERSUL)
25910;TERMINAL ARGOLA 16MM FURO 8.2MM
2657;PORCA SEXTAVADA 8MM
16099;CONDULETE PRETO 3/4
2988;CABO EPROTENAX 50MM - PRETO
5846;LUVA ELETRODUTO GALVANIZADO 3/4 NBR 5598
2635;PORCA SEXTAVADA 10MM
27503;CABO MULTIPLEX ALUMINIO 0.6/1KV 3x1x70mm2 , 70mm2 - QUADRUPLEX - NEUTRO NU
26389;CABO MULTIPLEX ALUMINIO 0.6/1KV 3X1X50MM2 + 50MM2 - QUADRUPLEX - NEUTRO ISOLADO
23534;ARRUELA DE PRESSAO 1/4
19642;TERMINAL TUBOLAR 35MM (APROV. CERSUL)
11334;PARAF SEXTAVADO 8X20
20076;PARAF MAQ CILINDRICO 5X20
30000;ABRACADEIRA PLAST 500X9.0MM PRETA
10534;CANALETA X3 SLIM B/2MT S/DIVISOR C/FITA DUPLA FACE
16593;MANGUEIRA KANAFLEX PEAD SW 4 - DN110
3320;CABO PP 750V - 2X1.0MM2 - PRETO
17915;CABO MULTIPLEX ALUMINIO 0.6/1KV 3x1x10mm2 , 10mm2 - QUADRUPLEX - NEUTRO NU
31597;EMENDA INT LEVE I 38X19
5997;ARRUELA LISA 3/16
16100;ADAPTADOR PRETO 3/4
7146;SAIDA HORIZONTAL DE LEITO P/ ELETR. 1
1438;PARAF MAQ CILINDRICO 3X30
28638;TERMINAL FORQUETA 10MM / 8.5 MM
12984;POSTE P/ FINAL DE TRILHO SAK - E/2
992;TERMINAL TUBOLAR 35MM
22853;PROJETOR SLIM LED 100W 6500K
8091;PRESILHA EM LATAO P/ CABO 16/35MM FURO 8MM PRT-882
18567;ANILHA MHG-4/9 4.0-16.00MM (4) HELLERMANN
7750;FITA INOX LISA 3/4
4602;DISJUNTOR MONOF C10A  (MDW-C10-1-3kA)
23208;CABO PP 1KV 5X2.5MM - PRETO
1406;PARAF SEXTAVADO 5/16X3/4 INOX
18566;ANILHA MHG-4/9 4.0-16.00MM (3) HELLERMANN
3165;FIO SOLIDO 750V - 4.0MM2 - AZUL
16361;CONECTOR P/ CABO LAN RJ-45 CAT 6
27322;CONECTOR VAMPIRO 10-95 / 1.5-10MM
5986;CABO EPROTENAX 25MM - VERDE
28171;CABO MULTIPLEX ALUMINIO 0.6/1KV 3X1X70MM2 + 70MM2 - QUADRUPLEX - NEUTRO ISOLADO
14677;MODULO TOMADA 2P+T 20A SLEEK
16900;SEPARADOR PISO 3MM / 2MM
22263;PILHA ALCALINA AAA PALITO 1 UNI
18130;MANGUEIRA LED BRANCO  - 220V
25529;CABO PP 750V - 4X0.50MM - PRETO
11627;CABO FLEX 750V 2.5MM VERDE - CORFITOX
2911;CABO COBRE NU 35MM
7355;CABO PP 1KV 4X10.00MM - PRETO
7358;CABO COAXIAL 95% MALHA + BIPOLAR
23969;ANILHA - MARCADOR RO 85 REF. F
3169;FIO SOLIDO 750V - 4.0MM2 - VERMELHO
7797;CABO EPROTENAX 35MM - VERDE
7449;CABO DE REDE CAT 6 VERMELHO - NEXANS
2697;BUCHA NYLON MU 6MM C/ ANEL
2728;CONDULETE BRANCO 3/4
5220;LUM.OVAL 1X40W REATOR ELETR. PRETA - INTRAL
8662;ADAPTADOR BOLSA/ ROSCA CINZA 3/4
26629;IDENTIFICADOR PLASTICO PARA BORNE UCT TM 6
3183;CABO FLEXIVEL 750V - 16.0MM2 - AZUL
906;TERMINAL FEMEA 1.5-2.5MM
1450;PARAF MAQ CILINDRICO 6X30
14132;ELETRODUTO BRANCO 3/4 - INPOL/MASSTER
23209;CABO PP 1KV 5X1.5MM - PRETO
3500;FUSIVEL PQ 0.25AX250V 5X20MM
10973;CABO MULTIPLEX ALUMINIO 0.6/1KV 3x1x16mm2 , 16mm2 - QUADRUPLEX - NEUTRO ISOLADO
9786;EMENDA P/ MANGUEIRA CORRUGADA 1
3015;CABO PP 1KV 2X6.00MM - PRETO
28769;MAO FRANCESA 100 REFORCADA GF
5600;EMENDA INT LEVE I 38X38
81;ADAPTADOR BRANCO 1
4387;JAQUETA P/ CHUMBADOR 1/4
19901;ABRACADEIRA TIPO D COM PARAFUSO 3/4 INOX
23106;PARAF SEXTAVADO 8X25 MM
17867;CONECTOR VAMPIRO 10-70 X 1.5-10MM
7758;CAIXA PVC DRYWALL 4X2 AMARELA
18212;CABO MULTIPLEX ALUMINIO 0.6/1KV 3x1x10mm2 , 10mm2 - QUADRUPLEX - NEUTRO ISOLADO
10861;CABO EPROTENAX 50MM - VERMELHO
30420;CABO EPROTENAX 4.0MM VERDE - CORFITOX
6969;ARRUELA DE PRESSAO 12MM
20081;CABO CONTROLE 10x1.50MM
23926;ANILHA - MARCADOR RO 85 REF. 7
23427;CABO FLEXIVEL 750V - 0.5MM2 - VERDE-AMARELO
23923;ANILHA - MARCADOR RO 85 REF. 4
1020;TERMINAL YA 35MM
7381;CABO EPROTENAX 120MM - PRETO
26437;CONECTOR EMENDA 2 VIAS 20A 300V 0.14MM ATÉ 4 MM- WAGO
23032;IDENTIFICADOR AUTO-ADESIVO PAINEL KLM 52X26MM
25138;ETIQUETA ADESIVA PLASTICA CINZA 52.5X15MM REF US-EMLP SR PHOENIX ( 18 POR CARTELA)
7613;CORDAO PARALELO 300V - 2X0.50MM2 - BRANCO
25;ABRACADEIRA C/ CHAVETA 3/4
21860;CABO CONTROLE 6X1.50MM
13948;PARAF SEXTAVADO 5X20
5523;REBITE 4.8X40MM
22189;PROJETOR SLIM LED 50W 6500K
7069;CANTONEIRA C/ 2 FUROS REFORCADA
6669;CONECTOR CABO HASTE TIPO GRAMPO PRT 905
1832;PINO ELASTICO 4.8X40
24736;LUMINARIA/PLAFON LED SOBREPOR QUADRADO BRANCO 18W 6500K - AVANT
3274;CABO LIDES 1.0MM
1243;PAPEL A4 BRANCO 210X297 500 FOLHAS
6904;ESPAGHET ISOPOL 2 MM
16104;COTOVELO 3/4 PRETO
23925;ANILHA - MARCADOR RO 85 REF. 6
8092;PRESILHA EM LATAO P/ CABO 35/50MM FURO 8MM PRT-883
2936;CABO DE ACO 1/8
6519;MAO FRANCESA 100 SIMPLES GF
6840;MAO FRANCESA 200 SIMPLES
14142;ABRACADEIRA VERMELHA 3/4
3185;CABO FLEXIVEL 750V - 16.0MM2 - BRANCO
14122;PARAF ALLEN SEXT 8X16 INOX
7625;PARAF MAQ CILINDRICO 3X20
2907;CABO COBRE NU 25MM
21799;PORCA SEXTAVADA 5/16 INOX - BELENUS
30416;CABO EPROTENAX 2.5MM - VERMELHO CORFITOX
6915;CONECTOR RETO P/ BOX 1
1455;PARAF SEXTAVADO 1/4X1.1/4
3158;FIO SOLIDO 750V - 2.5MM2 - AMARELO
2584;BUCHA DE ALUMINIO 1.1/4
27513;JAQUETA P/ CHUMBADOR 1/4 INOX
32237;SAIDA LATERAL SIMPLES P/ ELETRODUTO - 3/4
5988;PORCA SEXTAVADA 1/2 - 13 MM
33108;CABO SOLAR FLEX FV 1.8KV CC 6.00MM VERDE
26682;CABO DE FIBRA OPTICA SM DROP FLAT 1 FO G.657.A2 LSZH
4960;PORCA SEXTAVADA 1/4 INOX
13959;PARAFUSO MAQ PANELA M6X16 INOX
19953;ABRACADEIRA TIPO D COM PARAFUSO 1
17730;RELE INTERFACE SLIM MASTER BASIC 1 CONTATO REV 24VCA/CC 391100240060 FINDER
25528;CABO PP 750V - 3X0.50MM - PRETO
1130;RELE FOTOELETRICO 1000W VERMELHO EXATRON
6968;ARRUELA DE PRESSAO 10MM
15582;PARAFUSO 1/4 X 1/2 ELETROCALHA - INOX
23924;ANILHA - MARCADOR RO 85 REF. 5
16391;PARAFUSO SEXTAVADO 1/4X1/2 INOX
24464;PARAF AUTO ATARRAXANTE 5.5X1 INOX
22735;CABO SOLAR FLEX FV 1.8KV CC 6.00MM VERMELHO
22736;CABO SOLAR FLEX FV 1.8KV CC 6.00MM PRETO
8440;BARRA CHATA DE ALUMINIO 7/8 X 1/8 X 6MT PRT-750
29793;ABRACADEIRA PLAST 150X3.6 MM PRETA
3506;FUSIVEL PQ 1AX250V 5X20MM
25475;CABO PP 500V - 2x0.50MM2 - PRETO
3448;FUSIVEL GD 10AX250V 6X32MM
24025;PORCA SEXTAVADA 12MM ZB
19954;ABRACADEIRA TIPO D COM PARAFUSO 3/4
4958;PARAFUSO MAQ CILINDRICO 1/4X5/8 CABEÇA CHATA INOX
12301;CABO PP 1KV 4X16.00MM - PRETO
23930;ANILHA - MARCADOR RO 85 REF. B
23922;ANILHA - MARCADOR RO 85 REF. 3
3479;CAIXA DE INSPECAO / ATERRAMENTO N1
15614;PLUG FEMEA 2P+T 10A PRETO - MARGIRIUS
21291;CABO LAN F/UTP CAT 5E 4PX24AWG CAPA PRETA (BLINDADO)
2984;CABO EPROTENAX 50MM - AZUL
30417;CABO EPROTENAX 4.0MM VERMELHO - CORFITOX
19948;REBITE 6.0X16MM
10148;MODULO INTER. PARALELO SLEEK
6698;CONECTOR DE PASSAGEM 6MM CINZA
6696;CONECTOR DE PASSAGEM 4MM TERRA
7751;PRESILHA INOX P/ FITA LISA
6953;COTOVELO 3/4 CINZA
2997;CABO EPROTENAX 50MM - VERDE
11230;TERMINAL P/ FIO FEMEA REDONDO GRANDE
3514;FUSIVEL PQ 6.3AX250V 5X20MM
525;ARRUELA DE PRESSAO 8MM
23192;ROLAMENTO 6203 - C3
2642;PORCA SEXTAVADA 4MM
2688;BUCHA P/ GESSO 4-16MM Nº2
20385;CONECTOR VAMPIRO 16-120 / 16-120 MM
28065;CABO FLEX 750V 2.5MM CINZA - CORFITOX
29297;ANILHA - MARCADOR RO 85 REF. X
5972;PARAF SEXTAVADO 5/16X3/4
2658;SUPORTE P/ CABO DE ACO PERFILADO 38X38
29295;ANILHA - MARCADOR RO 85 REF. Q
